V-1,V-2,V-3,V-4,V-5,V-6,V-7,V-8,V-11,V-12,V-13,V-14,V-15,V-16,V-17,V-18,V-19,V-20,V-21,V-22,V-23,V-24,V-25,V-26,V-27,V-28,V-29,construction_costs,sale_prices
1,3150,920,598.5,190,1010.84,16,1200,7196,51.3,56.13,5.97,249110.7,2562.3,52.8,217,10445.6,15,733.8,815.5,1755,8002,60.74,54.26,2978.26,41407,601988.1,2200,410
1,7600,1140,3040,400,963.81,23,2900,3678,86.2,83.21,3.25,526596.4,2790.6,94.1,334.8,14488.6,15,1143.8,1316.3,8364.78,8393,90.95,89.79,11379.37,44835,929027.1,5000,1000
1,4800,840,480,100,689.84,15,630,2693,36.2,37.64,1.55,134312.5,1529,31.43,175.7,3994.7,15,589.5,765.8,1755,4930,38.7,32.04,1653.06,37933,377828.6,1200,170
1,685,202,13.7,20,459.54,4,140,1381,10,3.91,3,27231.21,316.5,9.85,14.15,152.6,12,197.6795574,152.25,1442.31,1456,9.73,8.34,686.16,8194,122031.7,165,30
1,3000,800,1230,410,631.91,13,5000,5606,149.1,134.8,4.09,1284199.4,6622.5,147.6,432.4,73143.5,14,2220.6,2244.1,9231.76,9286,136.6,140.2,9821,48260,1734973.5,5500,700
1,2500,640,1050,420,647.32,12,4800,5606,149.1,134.8,4.09,1284199.4,6622.5,147.6,432.4,73143.5,14,2220.6,2244.1,9231.76,9286,136.6,140.2,9821,48260,1734973.5,5200,700
1,1810,492,1158.4,640,843.98,11,5700,7045,160,141.34,4.72,1341072.8,8245,173.8,98.33,17361.2,11,2451.2,2526.4,9254.28,9306,136.56,138.8,9291,12393,1732937.5,5800,900
1,1150,380,575,500,590.68,6,5300,6790,203.8,162.84,6.46,1640293,10855.3,229.3,393.3,69444.8,11,2738.8,3148,9248.4,9380,158.63,169.5,10082,49572,2318397,4600,600
1,2110,540,189.9,90,732.14,5,690,3302,29.5,29.93,3.56,92354.2,1668.9,25.8,73.95,1441.4,15,431.1,550.4,1755,4252,30.13,21.54,2134.49,18409,402158.1,870,110
1,3030,930,515.1,170,1007.38,3,1500,3670,46.3,52.26,3.25,192689.2,1979,40.1,258.2,9452.7,15,629.9,764.5,1755,8420,54.62,44.79,2206.19,40234,629797.2,1700,190
1,750,200,90,120,846.15,6,1100,2628,39.3,40.21,1.52,143737.7,1284.5,33.5,142.9,3244.55,15,554.0819663,663.97,1755,5827,41.79,34.76,1527.55,19533,409677.9,1500,150
1,4080,790,530.4,130,759.17,7,1800,4691,49.1,59.29,3.53,212073.3,2103.5,47.5,108.5,5222.8,15,769.6,717.9,1755,8231,56.99,48.4,2556.96,20703.5,605688.7,2500,190
1,5030,1540,251.5,50,667.88,3,600,1892,17.4,20.75,2.46,61843.9,504.5,20.17,107.3,989.3,15,210.1,345.3,1750,2818,19.49,14.2,694.38,34738,410490.1,780,130
1,4040,890,1212,300,752.65,6,3800,3152,106,103.03,3.15,685697.5,3526.1,105.5,208.8,17584.3,15,1408.4,1473.5,8842.18,8864,105.52,105.32,12113.01,45966,1188995.8,5000,450
1,4880,1070,1854.4,380,614,5,4100,4079,143.4,131.56,3.44,1137397.7,8758.2,132.6,324.3,54857.63,14,2014.5,2143.3,9216.19,9244,129.24,134.46,10078.4,36195,1654038.4,5200,520
1,1860,480,539.4,290,836.28,4,3300,3157,92.8,96.49,3.05,552124.4,3896.7,96.9,52.2,4396.08,15,1294.2,1288,8555.54,8585,95.35,94.34,12063.5,11491.5,954628.6,3800,380
1,1460,380,627.8,430,733.24,5,4700,3629,137.4,125.83,3.45,1059966.2,6232.8,117.4,216.2,36571.75,14,1994.6,2025,9185.48,9208,123.37,127.33,9501.3,24130,1660444,6300,590
1,15670,3440,7208.2,460,1010.5,5,3000,2264,116.3,104.71,2.47,784948.5,4858.1,109.1,149.7,21723.4,15,1534.6,1795.3,9000.91,9022,109.02,112,10411.45,23548,1167697.4,3800,630
1,2620,670,1231.4,470,724.38,5,3900,5606,149.1,134.8,4.09,1284199.4,6622.5,147.6,432.4,73143.5,14,2220.6,2244.1,9231.76,9286,136.6,140.2,9821,48260,1734973.5,4800,650
1,5020,1110,1706.8,340,853.01,5,3300,3152,106,103.03,3.15,685697.5,3526.1,105.5,208.8,17584.3,15,1408.4,1473.5,8842.18,8864,105.52,105.32,12113.01,45966,1188995.8,4000,450
1,1830,410,494.1,270,650.57,6,3700,3678,86.2,83.21,3.25,526596.4,2790.6,94.1,334.8,14488.6,15,1143.8,1316.3,8364.78,8393,90.95,89.79,11379.37,44835,929027.1,4600,300
1,3560,690,925.6,260,885.89,7,2500,2217,72.9,78.63,1.81,427087.7,4521.3,85.9,83.7,3622.15,15,1014.9,1104.7,8148.33,8186,83.55,80.05,6703.06,11208.75,817526.9,3100,360
1,1590,350,667.8,420,678.64,6,4900,4079,143.4,131.56,3.44,1137397.7,8758.2,132.6,324.3,54857.63,14,2014.5,2143.3,9216.19,9244,129.24,134.46,10078.4,36195,1654038.4,6300,620
1,3700,820,962,260,749.77,6,2600,3157,92.8,96.49,3.05,552124.4,3896.7,96.9,52.2,4396.08,15,1294.2,1288,8555.54,8585,95.35,94.34,12063.5,11491.5,954628.6,3300,380
1,1450,370,406,280,702.48,5,3800,3152,106,103.03,3.15,685697.5,3526.1,105.5,208.8,17584.3,15,1408.4,1473.5,8842.18,8864,105.52,105.32,12113.01,45966,1188995.8,4600,370
1,1480,380,222,150,731.79,5,1700,6788,54.2,59.4,5.41,280451.7,3755.8,58.1,119.75,6228.3,15,795,818.5,1755,8001,63.69,58.55,3347.72,21293.5,589389.6,2100,190
1,6930,1780,485.1,70,718.57,5,590,1785,19.9,22.28,2.06,64539.9,544.5,21.11,33.58,468.15,15,226.9,347.5,1750,4527,23.28,15.27,897.88,8940.75,519679.8,830,90
1,2750,610,357.5,130,916.66,6,1300,2628,39.3,40.21,1.52,143737.7,1284.5,33.5,142.9,3244.55,15,554.0819663,663.97,1755,5827,41.79,34.76,1527.55,19533,409677.9,1700,160
1,3040,670,881.6,290,561.79,5,4900,3882,130.5,117.05,2.45,961139.2,4586.1,112.8,108.1,18285.88,14,1763.9,1837.4,9153.66,9168,120.24,121.94,9576.9,12065,1673301.4,6800,440
1,3420,880,547.2,160,890.64,4,2000,4072,47.8,57.88,3.39,198459.6,2034.8,45,54.25,2611.4,15,645.9,744.5,1755,8418,56.37,46.45,2424.37,10351.75,626960.3,2400,180
2,2600,560,598,230,415.24,10,2100,3052,124.4,108.42,2.75,921019.4,4602.1,110.3,299.4,43446.8,15,1821.6,1963.7,9114.22,9131,116.56,119.13,9459.4,47096,1391757.1,3300,400
2,3600,980,612,170,2648.04,7,250,1818,14.3,16.16,1.34,47344.8,356,17.36,26.83,247.33,15,184.7,211.9,1750,2602,14.98,12.01,408.84,8684.5,262159.4,420,145
2,900,300,351,390,755.51,6,2600,3882,130.5,117.05,2.45,961139.2,4586.1,112.8,108.1,18285.88,14,1763.9,1837.4,9153.66,9168,120.24,121.94,9576.9,12065,1673301.4,3800,600
2,820,250,303.4,370,928.27,7,2400,3152,106,103.03,3.15,685697.5,3526.1,105.5,208.8,17584.3,15,1408.4,1473.5,8842.18,8864,105.52,105.32,12113.01,45966,1188995.8,3300,580
2,680,260,20.4,30,639.5,3,170,2649,11.4,6.97,2.25,32793.7,388.9,11.73,42.45,457.8,12,167.9,209.6,1450.47,1507,10.17,9.35,508.64,24582,123618,200,40
2,1160,300,429.2,370,474.91,5,2400,5909,177.6,147.44,6.88,1451175.9,8146.1,188.9,196.65,34722.4,11,2284.4,2627.5,9297.06,9347,140.9,146.2,10149,24786,1681849.3,2600,480
2,1160,260,185.6,160,697.66,7,990,6713,56.2,61.52,6.11,320957.3,3485.8,64.5,239.5,12456.6,15,797.3,809.8,1755,8003,67.81,63.25,3758.77,42587,628132.9,1300,230
2,2820,620,310.2,110,536.64,6,1300,6788,54.2,59.4,5.41,280451.7,3755.8,58.1,119.75,6228.3,15,795,818.5,1755,8001,63.69,58.55,3347.72,21293.5,589389.6,1700,170
2,760,200,106.4,140,616.47,6,940,4986,55.5,60.78,3.94,297210.1,3663.5,61.5,179.63,9342.45,15,757.8,861.8,1755,8018,65,60.53,3538.71,31940.25,610502.7,1200,190
2,2250,690,765,340,853.01,3,2200,3152,106,103.03,3.15,685697.5,3526.1,105.5,208.8,17584.3,15,1408.4,1473.5,8842.18,8864,105.52,105.32,12113.01,45966,1188995.8,2500,430
2,5540,850,1551.2,280,957.42,9,1200,3255,69.4,76.29,2.84,417524,5146.3,81.7,372,15748.8,14,1005,1270.5,8002.21,8058,79.65,76.92,5062.76,43710,788018.3,1600,440
2,1540,400,154,100,771.33,5,700,4638,34.6,37.16,2.28,120470.6,1861.2,29.55,87.85,1997.35,15,481.1,667.8,1755,4730,35.67,28.87,1645.98,18966.5,390388.5,860,110
2,4230,820,169.2,40,780.14,7,200,2671.55,13.6,14.63,1.39,48135,427.3,16.42,68.1,617.6,12,207.6,255.4,1750,2224,13.77,11.66,403.5,33743,217000.1,340,160
2,1540,590,215.6,140,698.95,2,820,5728,52.4,57.65,5.4,262789,2931.4,54.2,59.88,3114.15,15,746.8,815.5,1755,8013,62.78,56.45,3387.72,10646.75,606524.2,910,160
2,4330,1110,86.6,20,421.26,4,170,2641.34,13.1,13.09,1.11,43837.4,339.6,15.48,51.08,463.2,12,170.3,217.2,1657.66,1759,12.61,11.03,354.55,25307.25,155181.7,220,30
2,2710,600,867.2,320,637.72,6,2300,2918,120.2,107.2,2.29,832123.7,5136.1,109.6,224.55,32585.1,15,1757.7,1817.6,9063.61,9078,112.15,115.7,10304.2,35322,1181856.2,3100,490
2,1350,350,270,200,576.74,5,1700,3157,92.8,96.49,3.05,552124.4,3896.7,96.9,52.2,4396.08,15,1294.2,1288,8555.54,8585,95.35,94.34,12063.5,11491.5,954628.6,2000,270
2,1260,330,189,150,875.96,5,790,4691,49.1,59.29,3.53,212073.3,2103.5,47.5,108.5,5222.8,15,769.6,717.9,1755,8231,56.99,48.4,2556.96,20703.5,605688.7,1000,210
2,1710,440,171,100,798.68,5,630,3840,33.4,36.56,2.32,115107.4,2211.5,28.61,43.93,998.68,15,229.2,582.9,1755,4758,34.98,27.13,1859.5,9483.25,408321.5,780,120
2,730,190,226.3,310,893.95,6,1800,3157,92.8,96.49,3.05,552124.4,3896.7,96.9,52.2,4396.08,15,1294.2,1288,8555.54,8585,95.35,94.34,12063.5,11491.5,954628.6,2200,450
2,450,120,58.5,130,913.31,7,690,1580,40.3,40.84,1.15,150266.8,1149.5,34.1,214.35,4866.83,15,573.7265313,680.29,1755,6714,43.4,36.45,1535.16,29299.5,466212.2,930,160
2,610,160,183,300,597.86,6,2700,2918,120.2,107.2,2.29,832123.7,5136.1,109.6,224.55,32585.1,15,1757.7,1817.6,9063.61,9078,112.15,115.7,10304.2,35322,1181856.2,3600,460
2,3160,700,537.2,170,694.97,6,1100,6796,62.6,70.75,3.72,365186.2,4730.8,74.3,186,7874.4,14,886.4,909.2,7930.66,8004,73.57,69.26,4756.68,21855,669640.3,1400,300
2,370,120,40.7,110,585.22,5,1200,7196,51.3,56.13,5.97,249110.7,2562.3,52.8,217,10445.6,15,733.8,815.5,1755,8002,60.74,54.26,2978.26,41407,601988.1,1500,140
2,690,160,89.7,130,770.35,8,990,3670,46.3,52.26,3.25,192689.2,1979,40.1,258.2,9452.7,15,629.9,764.5,1755,8420,54.62,44.79,2206.19,40234,629797.2,1400,190
3,2140,400,813.2,380,614,5,3200,4079,143.4,131.56,3.44,1137397.7,8758.2,132.6,324.3,54857.63,14,2014.5,2143.3,9216.19,9244,129.24,134.46,10078.4,36195,1654038.4,4000,530
3,7500,1260,2775,370,820.91,11,1800,2859,111.4,104.33,2.5,704586.3,6622.6,107.5,74.85,10861.7,15,1836.6,1932.5,8920.04,8938,110.51,108.51,12423.86,11774,1181572.6,3000,700
3,2100,500,126,60,1158.47,11,300,2309,24.3,26.87,3.51,85072.2,867.4,23.92,134.3,1872.6,15,225.7,409.3,1750,4063,27.84,18.37,1549.44,35763,420700.5,500,180
3,4600,1000,2668,580,3436.93,11,1300,3670,46.3,52.26,3.25,192689.2,1979,40.1,258.2,9452.7,15,629.9,764.5,1755,8420,54.62,44.79,2206.19,40234,629797.2,2100,900
3,5200,800,208,40,958.39,13,120,2952,11.6,8.5,1.99,35859.4,322.5,12.67,56.6,610.4,12,165.1,208.6,1504.36,1582,10.86,9.79,435.1,32776,129102.4,300,130
3,1820,400,655.2,360,474.74,5,3400,7045,160,141.34,4.72,1341072.8,8245,173.8,98.33,17361.2,11,2451.2,2526.4,9254.28,9306,136.56,138.8,9291,12393,1732937.5,4000,450
3,1500,350,810,540,637.93,6,4300,6790,203.8,162.84,6.46,1640293,10855.3,229.3,393.3,69444.8,11,2738.8,3148,9248.4,9380,158.63,169.5,10082,49572,2318397,3750,650
3,3100,640,1798,580,647.79,7,4600,6458,224.7,198.55,6.73,1622664,15001.6,306.7,83.53,16471.38,11,2871.3,3662.6,9132.66,9260,171.13,178.3,11568,12732,2435004.3,4000,700
3,2260,440,158.2,70,569.44,7,620,3302,29.5,29.93,3.56,92354.2,1668.9,25.8,73.95,1441.4,15,431.1,550.4,1755,4252,30.13,21.54,2134.49,18409,402158.1,860,80
3,1090,280,152.6,140,777.06,5,1500,5275,50.9,57.62,4.3,225500.9,2684.3,50.3,162.75,7834.2,15,742.7,812.7,1755,8102,58.66,51.86,2850.2,31055.25,588020.5,1900,180
3,2530,560,759,300,722.86,6,1800,3678,86.2,83.21,3.25,526596.4,2790.6,94.1,334.8,14488.6,15,1143.8,1316.3,8364.78,8393,90.95,89.79,11379.37,44835,929027.1,2200,330
3,4070,1040,895.4,220,634.42,4,1800,3157,92.8,96.49,3.05,552124.4,3896.7,96.9,52.2,4396.08,15,1294.2,1288,8555.54,8585,95.35,94.34,12063.5,11491.5,954628.6,2000,290
3,6000,1320,1800,300,752.65,5,2800,3152,106,103.03,3.15,685697.5,3526.1,105.5,208.8,17584.3,15,1408.4,1473.5,8842.18,8864,105.52,105.32,12113.01,45966,1188995.8,3400,400
3,820,260,49.2,60,644.47,4,630,2422,21.4,23.81,2.51,70232.2,724.1,22.05,67.15,936.3,15,284.1,346.1,1750,3739,24.05,16.21,1013.4,17881.5,428725,800,90
3,1150,300,80.5,70,718.57,5,620,1785,19.9,22.28,2.06,64539.9,544.5,21.11,33.58,468.15,15,226.9,347.5,1750,4527,23.28,15.27,897.88,8940.75,519679.8,870,90
3,4000,880,400,100,750.7,5,540,2898,30.9,31.47,2.68,98042.9,1571.1,26.74,110.93,2162.1,15,412,768,1755,4630,31.3,23.87,1991.43,27613.5,413834.5,680,110
3,3240,630,680.4,210,715.52,7,2300,2217,72.9,78.63,1.81,427087.7,4521.3,85.9,83.7,3622.15,15,1014.9,1104.7,8148.33,8186,83.55,80.05,6703.06,11208.75,817526.9,2900,290
3,1380,360,110.4,80,735.87,5,630,2507,26.9,28.4,3.31,85347.6,1163.3,24.86,36.98,720.7,15,331.3,467.1,1751.67,4198,29.95,19.7,2000.42,9204.5,420359.6,800,100
3,2170,480,542.5,250,854.84,6,1500,3255,69.4,76.29,2.84,417524,5146.3,81.7,372,15748.8,14,1005,1270.5,8002.21,8058,79.65,76.92,5062.76,43710,788018.3,1800,340
3,1820,400,200.2,110,753.66,6,920,1627,41,41.25,1.74,160401.5,1217.5,34.4,285.8,6489.1,15,614,608.2,1755,7773,45.91,38.34,1537.96,39066,524764.8,1200,140
3,580,150,17.4,30,631.89,6,240,2641.34,13.1,13.09,1.11,43837.4,339.6,15.48,51.08,463.2,12,170.3,217.2,1657.66,1759,12.61,11.03,354.55,25307.25,155181.7,370,70
3,2120,470,572.4,270,650.57,6,2900,3678,86.2,83.21,3.25,526596.4,2790.6,94.1,334.8,14488.6,15,1143.8,1316.3,8364.78,8393,90.95,89.79,11379.37,44835,929027.1,3600,300
3,5110,980,1430.8,280,505.51,7,2800,3052,124.4,108.42,2.75,921019.4,4602.1,110.3,299.4,43446.8,15,1821.6,1963.7,9114.22,9131,116.56,119.13,9459.4,47096,1391757.1,4200,410
3,3110,690,777.5,250,720.93,5,2600,3157,92.8,96.49,3.05,552124.4,3896.7,96.9,52.2,4396.08,15,1294.2,1288,8555.54,8585,95.35,94.34,12063.5,11491.5,954628.6,3100,340
3,2030,450,365.4,180,565.58,6,1800,2734,81.9,81.05,2.44,486347.8,3157.3,90.4,251.1,10866.45,15,1082.5,1176.5,8343.6,8382,87.27,85.56,10555.47,33626.25,865878.9,2200,260
3,4840,930,1452,300,541.61,7,3300,3052,124.4,108.42,2.75,921019.4,4602.1,110.3,299.4,43446.8,15,1821.6,1963.7,9114.22,9131,116.56,119.13,9459.4,47096,1391757.1,5100,430
3,4090,900,1104.3,270,655.93,5,2200,2700,103,101.84,2.65,625829.2,4386.9,100.4,156.6,13188.23,15,1424.1,1584.3,8776.71,8799,101,101.89,13571.8,34474.5,1067772,2600,370
3,3280,720,459.2,140,805.03,6,1200,2272,43.4,46.94,1.72,166267.2,1179.5,34.7,64.55,2363.18,15,641.5,652.2,1755,8315,49.92,40.26,1718.9,10058.5,540680.6,1600,150
3,1610,410,177.1,110,585.22,5,1700,7196,51.3,56.13,5.97,249110.7,2562.3,52.8,217,10445.6,15,733.8,815.5,1755,8002,60.74,54.26,2978.26,41407,601988.1,2100,140
3,1710,440,119.7,70,525.49,5,880,2898,30.9,31.47,2.68,98042.9,1571.1,26.74,110.93,2162.1,15,412,768,1755,4630,31.3,23.87,1991.43,27613.5,413834.5,1100,80
4,2100,380,819,390,601.08,4,2800,5606,149.1,134.8,4.09,1284199.4,6622.5,147.6,432.4,73143.5,14,2220.6,2244.1,9231.76,9286,136.6,140.2,9821,48260,1734973.5,3400,510
4,1800,500,954,530,626.12,7,1900,6790,203.8,162.84,6.46,1640293,10855.3,229.3,393.3,69444.8,11,2738.8,3148,9248.4,9380,158.63,169.5,10082,49572,2318397,1700,650
4,1900,550,437,230,1362.92,7,550,3670,46.3,52.26,3.25,192689.2,1979,40.1,258.2,9452.7,15,629.9,764.5,1755,8420,54.62,44.79,2206.19,40234,629797.2,750,320
4,1895,550,379,200,1446.67,6,450,2374,38,39.43,0.92,134548.4,1191.1,33.7,71.45,1622.28,15,574.6,680.5,1755,5565,41.03,33.37,1601.79,9766.5,403875,580,250
4,2100,450,546,260,816.95,5,600,2734,81.9,81.05,2.44,486347.8,3157.3,90.4,251.1,10866.45,15,1082.5,1176.5,8343.6,8382,87.27,85.56,10555.47,33626.25,865878.9,700,330
4,2050,700,492,240,527.22,10,2100,2264,116.3,104.71,2.47,784948.5,4858.1,109.1,149.7,21723.4,15,1534.6,1795.3,9000.91,9022,109.02,112,10411.45,23548,1167697.4,3300,450
4,1052,250,168.32,160,948.12,6,770,3670,46.3,52.26,3.25,192689.2,1979,40.1,258.2,9452.7,15,629.9,764.5,1755,8420,54.62,44.79,2206.19,40234,629797.2,1000,200
4,1650,432,264,160,851.23,5,550,7196,51.3,56.13,5.97,249110.7,2562.3,52.8,217,10445.6,15,733.8,815.5,1755,8002,60.74,54.26,2978.26,41407,601988.1,700,200
4,3350,800,804,240,369.9,7,1300,5606,149.1,134.8,4.09,1284199.4,6622.5,147.6,432.4,73143.5,14,2220.6,2244.1,9231.76,9286,136.6,140.2,9821,48260,1734973.5,1600,370
4,1450,336,507.5,350,442.61,2,1800,6370,190.3,154.36,5.33,1523166.6,12930,210.7,294.98,52083.6,11,2595.2,3000,9329.64,9396,148.76,159,9700,37179,1908975.7,1850,400
4,1130,260,339,300,511.56,3,1400,3629,137.4,125.83,3.45,1059966.2,6232.8,117.4,216.2,36571.75,14,1994.6,2025,9185.48,9208,123.37,127.33,9501.3,24130,1660444,1700,390
4,1200,1100,300,250,451.35,7,980,3052,124.4,108.42,2.75,921019.4,4602.1,110.3,299.4,43446.8,15,1821.6,1963.7,9114.22,9131,116.56,119.13,9459.4,47096,1391757.1,1500,370
4,1450,336,536.5,370,371.34,4,2300,3098,255.8,216.48,3.8,1704943.8,18468.3,292.4,250.58,49414.13,11,3447.8,3676.1,9967.33,10099.3,190.5,204.8,8857,38196,2310101.4,1900,390
4,1560,400,171.6,110,878.55,5,420,3840,33.4,36.56,2.32,115107.4,2211.5,28.61,43.93,998.68,15,229.2,582.9,1755,4758,34.98,27.13,1859.5,9483.25,408321.5,520,130
4,2740,610,767.2,280,542.42,6,1500,3882,130.5,117.05,2.45,961139.2,4586.1,112.8,108.1,18285.88,14,1763.9,1837.4,9153.66,9168,120.24,121.94,9576.9,12065,1673301.4,2200,440
4,2120,470,508.8,240,817.74,6,1100,2217,72.9,78.63,1.81,427087.7,4521.3,85.9,83.7,3622.15,15,1014.9,1104.7,8148.33,8186,83.55,80.05,6703.06,11208.75,817526.9,1300,350
4,1650,510,181.5,110,651.83,3,820,3670,46.3,52.26,3.25,192689.2,1979,40.1,258.2,9452.7,15,629.9,764.5,1755,8420,54.62,44.79,2206.19,40234,629797.2,920,120
4,1430,440,57.2,40,772.31,4,280,2309,24.3,26.87,3.51,85072.2,867.4,23.92,134.3,1872.6,15,225.7,409.3,1750,4063,27.84,18.37,1549.44,35763,420700.5,350,120
4,720,190,72,100,798.68,6,490,3840,33.4,36.56,2.32,115107.4,2211.5,28.61,43.93,998.68,15,229.2,582.9,1755,4758,34.98,27.13,1859.5,9483.25,408321.5,630,120
4,2070,400,269.1,130,723.64,7,730,4072,47.8,57.88,3.39,198459.6,2034.8,45,54.25,2611.4,15,645.9,744.5,1755,8418,56.37,46.45,2424.37,10351.75,626960.3,1000,170
4,1900,420,190,100,575.02,6,720,2272,43.4,46.94,1.72,166267.2,1179.5,34.7,64.55,2363.18,15,641.5,652.2,1755,8315,49.92,40.26,1718.9,10058.5,540680.6,940,110
4,390,100,62.4,160,547.1,8,1000,3255,69.4,76.29,2.84,417524,5146.3,81.7,372,15748.8,14,1005,1270.5,8002.21,8058,79.65,76.92,5062.76,43710,788018.3,1300,220
4,1540,340,446.6,290,727.56,6,1500,3152,106,103.03,3.15,685697.5,3526.1,105.5,208.8,17584.3,15,1408.4,1473.5,8842.18,8864,105.52,105.32,12113.01,45966,1188995.8,1900,430
4,2410,530,216.9,90,525.58,6,640,4691,49.1,59.29,3.53,212073.3,2103.5,47.5,108.5,5222.8,15,769.6,717.9,1755,8231,56.99,48.4,2556.96,20703.5,605688.7,840,130
4,440,120,13.2,30,779.57,8,160,2312,10.6,5.44,2.58,30012.46,345.3,10.79,28.3,305.2,12,180.3715071,158.45,1439,1450,9.91,8.85,590.64,16388,121857.2,250,60
4,1430,320,42.9,30,477.9,6,170,2197,15.5,17.69,1.67,52148.6,417.7,18.3,53.65,494.65,15,202.8,260.4,1750,2455,15.85,12.54,450.34,17369,268843.7,270,30
4,1190,310,130.9,110,642.37,5,870,4691,49.1,59.29,3.53,212073.3,2103.5,47.5,108.5,5222.8,15,769.6,717.9,1755,8231,56.99,48.4,2556.96,20703.5,605688.7,1100,150
4,930,240,93,100,770.16,5,460,3321,31.4,33,2.69,116552.6,1430.8,27.68,147.9,2882.8,15,763.2,582.8,1755,4695,32.83,25.62,1936.75,36818,415431.1,580,110
4,1660,430,282.2,170,728.63,5,1200,6713,59.1,65.61,5.65,339325.9,3878.4,70.2,93,3937.2,14,831.8,938.4,7924.48,7994,71.56,65.65,4294.06,10927.5,648845.6,1500,240
4,1800,560,36,20,459.54,4,110,1381,10,3.91,3,27231.21,316.5,9.85,14.15,152.6,12,197.6795574,152.25,1442.31,1456,9.73,8.34,686.16,8194,122031.7,130,30
4,1500,330,540,360,867.43,7,1300,3678,86.2,83.21,3.25,526596.4,2790.6,94.1,334.8,14488.6,15,1143.8,1316.3,8364.78,8393,90.95,89.79,11379.37,44835,929027.1,1700,440
4,2300,510,207,90,536.26,6,580,3213,44.5,49.8,2.48,176542.9,1563.4,35,129.1,4726.35,15,611.8,670.1,1755,9048,50.28,41.8,1766.35,20117,566492.3,740,110
4,1600,360,272,170,728.63,7,1200,6713,59.1,65.61,5.65,339325.9,3878.4,70.2,93,3937.2,14,831.8,938.4,7924.48,7994,71.56,65.65,4294.06,10927.5,648845.6,1500,310
5,2140,470,235.4,110,663.38,6,660,2964,45.6,51.63,2.67,183726,1298.1,39.7,193.65,7089.53,15,627.6,669.8,1755,8690,51.89,42.87,1976.26,30175.5,611105.4,840,140
5,2010,520,381.9,190,814.35,4,1200,6713,59.1,65.61,5.65,339325.9,3878.4,70.2,93,3937.2,14,831.8,938.4,7924.48,7994,71.56,65.65,4294.06,10927.5,648845.6,1400,240
5,2670,690,213.6,80,600.56,5,340,2898,30.9,31.47,2.68,98042.9,1571.1,26.74,110.93,2162.1,15,412,768,1755,4630,31.3,23.87,1991.43,27613.5,413834.5,430,90
5,2290,710,91.6,40,637.2,3,190,2197,15.5,17.69,1.67,52148.6,417.7,18.3,53.65,494.65,15,202.8,260.4,1750,2455,15.85,12.54,450.34,17369,268843.7,240,70
